abort_reason,batch,cache_type,context,directory,micro_batch,pause_count,paused_seconds,phase,precision,recorded_exit,server_label
,512,q8_0,30000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/gemma-prompt-v3-01-gemma,128,0,0,train_technical,Q8_0,True,gemma-prompt-v3-01-gemma
,512,q8_0,60000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/gemma-toon-01-gemma,128,0,0,train_technical,Q8_0,True,gemma-toon-01-gemma
,512,q8_0,30000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/phi-prompt-v3-01-phi,128,8,10.006637900000001,train_technical,Q8_0,True,phi-prompt-v3-01-phi
,512,q8_0,30000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/phi-prompt-v3-02-phi,128,7,8.8355371,train_technical,Q8_0,True,phi-prompt-v3-02-phi
,512,q4_0,114688,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/phi-prova-01-phi,128,0,0,train_technical,BF16,True,phi-prova-01-phi
,512,q8_0,60000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/phi-toon-01-phi,128,4,4.9947484,train_technical,Q8_0,True,phi-toon-01-phi
available_ram_below_operational_limit,64,q8_0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/qwen-bf16-graph-safe01-qwen,16,0,0,train_technical,BF16,True,qwen-bf16-graph-safe01-qwen
available_ram_below_operational_limit,512,q8_0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/qwen-chat-20260914-182345,128,0,0,historical_unknown,Q8_0,True,qwen-chat-20260914-182345
available_ram_below_operational_limit,512,q8_0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/qwen-chat-20260914-182526,128,0,0,historical_unknown,Q8_0,True,qwen-chat-20260914-182526
,512,q8_0,147456,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/qwen-chat-20260914-205600,128,,,historical_unknown,Q8_0,False,qwen-chat-20260914-205600
