cache_type,circuit_id,configuration,context,directory,failure_category,label,llm_calls,model,precision,repair_count,split,status
q8_0,ae_indep_qiskit_60,p1_t0,30000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/gemma-prompt-v3-01/gemma/p1_t0/ae_indep_qiskit_60,,gemma-prompt-v3-01,1,gemma,Q8_0,0,train,success
q8_0,dj_indep_tket_2,p1_t0,30000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/gemma-prompt-v3-01/gemma/p1_t0/dj_indep_tket_2,,gemma-prompt-v3-01,1,gemma,Q8_0,0,train,success
q8_0,portfoliovqe_indep_qiskit_6,p1_t0,30000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/gemma-prompt-v3-01/gemma/p1_t0/portfoliovqe_indep_qiskit_6,,gemma-prompt-v3-01,1,gemma,Q8_0,0,train,success
q8_0,su2random_indep_qiskit_50,p1_t0,30000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/gemma-prompt-v3-01/gemma/p1_t0/su2random_indep_qiskit_50,,gemma-prompt-v3-01,1,gemma,Q8_0,0,train,success
q8_0,su2random_indep_tket_50,p1_t0,30000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/gemma-prompt-v3-01/gemma/p1_t0/su2random_indep_tket_50,,gemma-prompt-v3-01,1,gemma,Q8_0,0,train,success
q8_0,ae_indep_qiskit_60,p1_t0,60000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/gemma-toon-01/gemma/p1_t0/ae_indep_qiskit_60,,gemma-toon-01,1,gemma,Q8_0,0,train,success
q8_0,dj_indep_tket_2,p1_t0,60000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/gemma-toon-01/gemma/p1_t0/dj_indep_tket_2,,gemma-toon-01,1,gemma,Q8_0,0,train,success
q8_0,portfoliovqe_indep_qiskit_6,p1_t0,60000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/gemma-toon-01/gemma/p1_t0/portfoliovqe_indep_qiskit_6,,gemma-toon-01,1,gemma,Q8_0,0,train,success
q8_0,su2random_indep_qiskit_50,p1_t0,60000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/gemma-toon-01/gemma/p1_t0/su2random_indep_qiskit_50,,gemma-toon-01,1,gemma,Q8_0,0,train,success
q8_0,su2random_indep_tket_50,p1_t0,60000,artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/technical_episodes/gemma-toon-01/gemma/p1_t0/su2random_indep_tket_50,,gemma-toon-01,1,gemma,Q8_0,0,train,success
